id,pair,direction,open_time,close_time,position_open_price,position_close_price,trailing_step,trailing_stop_price,runup,drawdown,net_profit
1,HOTUSDT,short,2023-11-26 19:42:07,2023-11-26 19:46:05,0.001594,0.001597,0.0,0.001596,-0.08,-0.33,-0.27
2,ANKRUSDT,long,2023-11-26 20:21:07,2023-11-26 20:25:05,0.02513,0.02511,1.0,0.02513,0.0,-0.16,-0.16
3,KAVAUSDT,long,2023-11-26 20:24:07,2023-11-26 20:25:05,0.8037,0.8028,0.0,0.8034,-0.08,-0.19,-0.19
4,CELRUSDT,long,2023-11-26 20:24:08,2023-11-26 20:26:05,0.01512,0.0151,0.0,0.01511,-0.15,-0.21,-0.21
5,STXUSDT,long,2023-11-26 20:27:06,2023-11-26 20:29:05,0.6883,0.6881,1.0,0.6883,-0.05,-0.25,-0.11
6,EOSUSDT,long,2023-11-26 20:27:06,2023-11-26 20:32:05,0.696,0.695,1.0,0.696,0.06,-0.22,-0.22
7,AVAXUSDT,long,2023-11-26 20:28:07,2023-11-26 20:33:05,21.11,21.085,2.0,21.118,0.19,-0.22,-0.2
8,LDOUSDT,long,2023-11-26 20:32:07,2023-11-26 20:35:05,2.5228,2.5156,1.0,2.5268,0.12,-0.39,-0.37
9,NTRNUSDT,long,2023-11-26 20:32:07,2023-11-26 20:38:05,0.5164,0.5134,3.0,0.5168,0.48,-0.84,-0.66
10,OGNUSDT,short,2023-11-26 20:38:07,2023-11-26 20:39:06,0.1314,0.1315,0.0,0.1314,0.0,-0.23,-0.16
11,ROSEUSDT,long,2023-11-26 20:33:07,2023-11-26 20:41:03,0.08158,0.08193,3.0,0.08204,0.73,-0.3,0.35
12,UNIUSDT,long,2023-11-26 20:40:07,2023-11-26 20:42:05,6.163,6.161,1.0,6.163,0.03,-0.13,-0.11
13,AVAXUSDT,long,2023-11-26 20:40:07,2023-11-26 20:44:05,21.316,21.285,1.0,21.31,0.03,-0.4,-0.23
14,LDOUSDT,long,2023-11-26 20:42:07,2023-11-26 20:45:05,2.5347,2.527,0.0,2.5309,-0.03,-0.44,-0.38
15,GALAUSDT,long,2023-11-26 20:39:08,2023-11-26 20:46:05,0.02637,0.02641,2.0,0.02644,0.38,-0.27,0.07
16,RIFUSDT,long,2023-11-26 20:48:07,2023-11-26 20:49:06,0.10746,0.10732,0.0,0.10733,-0.03,-0.25,-0.21
17,DOTUSDT,long,2023-11-26 20:47:07,2023-11-26 20:51:05,5.368,5.368,3.0,5.381,0.26,-0.14,-0.08
18,BTCUSDT,long,2023-11-26 20:47:08,2023-11-26 20:51:05,37549.2,37588.8,3.0,37594.1,0.14,-0.11,0.03
19,BALUSDT,long,2023-11-26 20:48:07,2023-11-26 20:51:05,3.797,3.796,2.0,3.8,0.16,-0.13,-0.11
20,PHBUSDT,long,2023-11-26 20:48:08,2023-11-26 20:51:05,0.8536,0.8535,2.0,0.8538,0.01,-0.15,-0.09
21,LEVERUSDT,long,2023-11-26 20:48:08,2023-11-26 20:51:06,0.001373,0.001372,1.0,0.001373,-0.01,-0.23,-0.15
22,SLPUSDT,long,2023-11-26 20:48:08,2023-11-26 20:51:06,0.002498,0.0025,2.0,0.002501,0.16,-0.16,0.0
23,IDEXUSDT,long,2023-11-26 20:48:09,2023-11-26 20:51:06,0.05948,0.05941,1.0,0.05949,0.02,-0.2,-0.2
24,LDOUSDT,long,2023-11-26 20:50:09,2023-11-26 20:51:06,2.5505,2.5436,0.0,2.5469,-0.03,-0.46,-0.35
25,ALPHAUSDT,long,2023-11-26 20:50:10,2023-11-26 20:51:06,0.10134,0.10097,0.0,0.10106,-0.07,-0.54,-0.45
26,BCHUSDT,long,2023-11-26 20:47:08,2023-11-26 20:52:05,226.9,226.97,3.0,227.01,0.04,-0.13,-0.05
27,POWRUSDT,long,2023-11-26 20:48:07,2023-11-26 20:52:05,0.2723,0.2725,3.0,0.2726,0.1,-0.15,-0.01
28,NEARUSDT,long,2023-11-26 20:50:09,2023-11-26 20:52:06,1.866,1.864,1.0,1.866,0.24,-0.24,-0.19
29,DASHUSDT,long,2023-11-26 20:48:07,2023-11-26 20:53:05,30.88,30.88,2.0,30.9,0.02,-0.11,-0.08
30,FETUSDT,long,2023-11-26 20:48:08,2023-11-26 20:53:05,0.5315,0.531,1.0,0.5313,0.0,-0.19,-0.17
31,KNCUSDT,long,2023-11-26 20:49:08,2023-11-26 20:53:05,0.7317,0.7309,1.0,0.7311,-0.08,-0.2,-0.19
32,CELRUSDT,long,2023-11-26 20:50:09,2023-11-26 20:53:05,0.01517,0.01515,0.0,0.01516,-0.15,-0.21,-0.21
33,EDUUSDT,long,2023-11-26 20:52:08,2023-11-26 20:53:05,0.6063,0.6053,0.0,0.6057,-0.08,-0.26,-0.24
34,BATUSDT,long,2023-11-26 20:47:07,2023-11-26 20:54:06,0.2171,0.2172,1.0,0.2173,0.1,-0.13,-0.03
35,OPUSDT,long,2023-11-26 20:47:07,2023-11-26 20:54:06,1.8084,1.8101,4.0,1.8118,0.32,-0.18,0.01
36,ATAUSDT,long,2023-11-26 20:48:07,2023-11-26 20:54:06,0.0955,0.0955,1.0,0.0956,0.23,-0.08,-0.08
37,FRONTUSDT,long,2023-11-26 20:48:08,2023-11-26 20:54:06,0.3406,0.3405,2.0,0.3409,0.13,-0.11,-0.11
38,ICPUSDT,long,2023-11-26 20:50:10,2023-11-26 20:54:06,4.642,4.637,2.0,4.645,0.2,-0.19,-0.19
39,ANTUSDT,long,2023-11-26 20:50:10,2023-11-26 20:54:06,5.303,5.293,1.0,5.298,-0.06,-0.29,-0.27
40,COTIUSDT,long,2023-11-26 20:52:07,2023-11-26 20:54:06,0.05621,0.05612,0.0,0.05616,-0.03,-0.29,-0.24
41,GRTUSDT,long,2023-11-26 20:53:07,2023-11-26 20:54:06,0.14947,0.14908,0.0,0.14916,-0.09,-0.34,-0.34
42,ETHUSDT,long,2023-11-26 20:47:08,2023-11-26 20:55:05,2076.61,2077.85,5.0,2080.41,0.22,-0.17,-0.02
43,INJUSDT,long,2023-11-26 20:48:09,2023-11-26 20:55:05,16.815,16.796,3.0,16.825,0.4,-0.24,-0.19
44,DENTUSDT,long,2023-11-26 20:50:10,2023-11-26 20:55:05,0.000838,0.000836,0.0,0.000837,0.04,-0.44,-0.32
45,STGUSDT,long,2023-11-26 20:53:07,2023-11-26 20:55:05,0.5496,0.549,0.0,0.5492,-0.13,-0.26,-0.19
46,ZENUSDT,long,2023-11-26 20:48:08,2023-11-26 20:56:06,10.417,10.402,1.0,10.422,0.08,-0.31,-0.22
47,XVGUSDT,long,2023-11-26 20:48:08,2023-11-26 20:56:06,0.003541,0.003538,2.0,0.003543,0.06,-0.16,-0.16
48,FLMUSDT,long,2023-11-26 20:50:09,2023-11-26 20:56:06,0.0832,0.0832,2.0,0.0833,0.16,-0.2,-0.08
49,BAKEUSDT,long,2023-11-26 20:50:10,2023-11-26 20:56:06,0.1534,0.1527,1.0,0.1531,-0.01,-0.67,-0.54
50,MAGICUSDT,long,2023-11-26 20:53:07,2023-11-26 20:56:06,0.8684,0.8666,0.0,0.8672,0.04,-0.45,-0.29
51,SOLUSDT,long,2023-11-26 20:50:10,2023-11-26 20:57:05,58.66,58.008,1.0,58.15,-0.03,-1.3,-1.19
52,XEMUSDT,long,2023-11-26 20:48:08,2023-11-26 20:59:05,0.0364,0.0362,0.0,0.0363,-0.08,-0.63,-0.63
53,ASTRUSDT,long,2023-11-26 20:52:07,2023-11-26 20:59:05,0.0668,0.06689,2.0,0.0669,0.1,-0.09,0.05
54,GLMRUSDT,long,2023-11-26 20:49:08,2023-11-26 21:00:05,0.2932,0.2928,3.0,0.2936,0.57,-0.39,-0.22
55,FETUSDT,long,2023-11-26 20:58:07,2023-11-26 21:00:06,0.5324,0.5318,1.0,0.5323,-0.04,-0.25,-0.19
56,USDCUSDT,long,2023-11-26 20:56:08,2023-11-26 21:01:05,0.999,0.99896,0.0,0.99899,-0.08,-0.09,-0.08
57,MKRUSDT,long,2023-11-26 20:47:07,2023-11-26 21:05:06,1481.7,1485.8,10.0,1485.9,0.29,-0.11,0.2
58,ENJUSDT,long,2023-11-26 21:02:07,2023-11-26 21:05:06,0.3027,0.3026,2.0,0.303,0.12,-0.15,-0.11
59,SUIUSDT,long,2023-11-26 20:58:07,2023-11-26 21:06:06,0.6411,0.6399,3.0,0.6419,0.25,-0.31,-0.27
60,AGLDUSDT,short,2023-11-26 21:05:07,2023-11-26 21:06:06,0.9305,0.9325,0.0,0.931,-0.05,-0.32,-0.29
61,SSVUSDT,short,2023-11-26 21:06:08,2023-11-26 21:10:05,22.81,22.79,2.0,22.78,0.23,-0.21,0.01
62,MINAUSDT,short,2023-11-26 21:09:07,2023-11-26 21:11:05,0.7529,0.7547,0.0,0.7544,-0.21,-0.32,-0.32
63,STXUSDT,long,2023-11-26 21:04:07,2023-11-26 21:15:05,0.6949,0.6985,6.0,0.6988,0.61,-0.14,0.44
64,UNFIUSDT,short,2023-11-26 21:15:08,2023-11-26 21:16:05,13.086,13.119,0.0,13.093,-0.07,-0.37,-0.33
65,IOTXUSDT,long,2023-11-26 21:10:06,2023-11-26 21:20:06,0.02497,0.0249,0.0,0.02493,0.08,-0.4,-0.36
