id,pair,direction,open_time,close_time,position_open_price,position_close_price,runup,drawdown,net_profit,lowest_price,highest_price,rev_direction
1,HOTUSDT,short,2023-11-26 19:42:07,2023-11-26 19:46:05,0.001594,0.001597,-0.08,-0.33,-0.27,0.001594,0.001597985,long
2,ANKRUSDT,long,2023-11-26 20:21:07,2023-11-26 20:25:05,0.02513,0.02511,0.0,-0.16,-0.16,0.025109896,0.025150103999999996,short
3,KAVAUSDT,long,2023-11-26 20:24:07,2023-11-26 20:25:05,0.8037,0.8028,-0.08,-0.19,-0.19,0.80281593,0.8037,short
4,CELRUSDT,long,2023-11-26 20:24:08,2023-11-26 20:26:05,0.01512,0.0151,-0.15,-0.21,-0.21,0.015100344,0.015109415999999999,short
5,STXUSDT,long,2023-11-26 20:27:06,2023-11-26 20:29:05,0.6883,0.6881,-0.05,-0.25,-0.11,0.68712989,0.68850649,short
6,EOSUSDT,long,2023-11-26 20:27:06,2023-11-26 20:32:05,0.696,0.695,0.06,-0.22,-0.22,0.6950256,0.6969744,short
7,AVAXUSDT,long,2023-11-26 20:28:07,2023-11-26 20:33:05,21.11,21.085,0.19,-0.22,-0.2,21.080446000000002,21.166997,short
8,LDOUSDT,long,2023-11-26 20:32:07,2023-11-26 20:35:05,2.5228,2.5156,0.12,-0.39,-0.37,2.51497932,2.5278456,short
9,NTRNUSDT,long,2023-11-26 20:32:07,2023-11-26 20:38:05,0.5164,0.5134,0.48,-0.84,-0.66,0.5124753599999999,0.51929184,short
10,OGNUSDT,short,2023-11-26 20:38:07,2023-11-26 20:39:06,0.1314,0.1315,0.0,-0.23,-0.16,0.13129487999999997,0.1315971,long
11,ROSEUSDT,long,2023-11-26 20:33:07,2023-11-26 20:41:03,0.08158,0.08193,0.73,-0.3,0.35,0.081400524,0.082240798,short
12,UNIUSDT,long,2023-11-26 20:40:07,2023-11-26 20:42:05,6.163,6.161,0.03,-0.13,-0.11,6.159918500000001,6.169779300000001,short
13,AVAXUSDT,long,2023-11-26 20:40:07,2023-11-26 20:44:05,21.316,21.285,0.03,-0.4,-0.23,21.2477888,21.3394476,short
14,LDOUSDT,long,2023-11-26 20:42:07,2023-11-26 20:45:05,2.5347,2.527,-0.03,-0.44,-0.38,2.52557508,2.53596735,short
15,GALAUSDT,long,2023-11-26 20:39:08,2023-11-26 20:46:05,0.02637,0.02641,0.38,-0.27,0.07,0.026319897000000002,0.026491301999999998,short
16,RIFUSDT,long,2023-11-26 20:48:07,2023-11-26 20:49:06,0.10746,0.10732,-0.03,-0.25,-0.21,0.107277318,0.10751372999999999,short
17,DOTUSDT,long,2023-11-26 20:47:07,2023-11-26 20:51:05,5.368,5.368,0.26,-0.14,-0.08,5.3647792,5.386251200000001,short
18,BTCUSDT,long,2023-11-26 20:47:08,2023-11-26 20:51:05,37549.2,37588.8,0.14,-0.11,0.03,37537.93524,37631.80824,short
19,BALUSDT,long,2023-11-26 20:48:07,2023-11-26 20:51:05,3.797,3.796,0.16,-0.13,-0.11,3.7951015000000003,3.8061128,short
